ID,Longitude,Latitude,sampling_d
2982,115.750977,-32.293157,-10
2988,115.768538,-32.496953,-20
2989,115.770126,-32.433562,-25
2990,115.769975,-32.433617,-26
2991,115.763,-32.406215,-12
2995,115.777507,-32.272293,-12
2997,115.762359,-32.245986,-19.67
3011,115.785089,-32.380101,-17
3012,115.784987,-32.380252,-18
3013,115.78713,-32.277162,-3.2
3021,115.806457,-32.433706,-11
3022,115.801514,-32.40624,-28
3025,115.805191,-32.32742,-11
3026,115.804983,-32.327651,-16
3030,115.80583,-32.214393,-26.25
3033,115.819165,-32.379618,-16
3035,115.812453,-32.297391,-28
3041,115.841494,-32.498412,-12
3042,115.839888,-32.348035,-16
3044,115.833944,-32.234618,-34
3048,115.84088,-32.195749,-6.5
3049,115.842178,-32.172027,-9.3
3052,115.851766,-32.4062,-7
3053,115.856954,-32.37169,-16
3054,115.857175,-32.371827,-11
3055,115.857634,-32.323544,-10
3057,115.858661,-32.267622,-12
3063,115.850619,-32.18061,-25
3065,115.850672,-32.180611,-21
3068,115.875984,-32.46829,-11
3069,115.873051,-32.237687,-25
3071,115.868286,-32.19293,-10.7
3075,115.890148,-32.440417,-8
3077,115.888893,-32.405721,-6
3080,115.888541,-32.210488,-16
3086,115.889308,-32.180135,-5.5
3092,115.901268,-32.293369,-8
3093,115.906784,-32.266277,-22
3098,115.92786,-32.498574,-11
3101,115.924035,-32.210328,-15
3104,115.916409,-32.180152,-8
3105,115.939686,-32.440429,-8.25
3106,115.942149,-32.404457,-15
3108,115.930977,-32.349093,-10.67
3109,115.937749,-32.323342,-12.25
3110,115.945438,-32.295144,-13
3112,115.96076,-32.38004,-15
3114,115.956772,-32.235627,-9
3115,115.972843,-32.208039,-12
3116,115.978162,-32.18028,-18.5
3148,115.818439,-32.090818,-15.5
3155,115.845558,-32.135571,-10.43
3181,115.849141,-32.146282,-10.5
3205,115.872223,-32.115268,-15.5
3212,115.888798,-32.149622,-6
3327,115.814451,-32.150174,-47
3329,115.819603,-32.149419,-32.29
3331,115.841255,-32.14519,-35.74
3333,115.8412,-32.1452,-5
4343,115.92232,-32.177226,-15.57
4347,115.761406,-31.992802,-11
4362,115.791574,-31.975015,-25
4370,115.795169,-31.925795,-11
4372,115.794108,-31.891982,-12.33
4378,115.799371,-31.863652,-11
4380,115.790957,-31.845881,-10.21
4391,115.809682,-31.900294,-11
4441,115.815333,-31.859471,-10
4484,115.830421,-31.865791,-20
4502,115.844467,-31.938774,-9.4
4512,115.859081,-31.907639,-9
4521,115.871795,-32.091467,-11
4522,115.868908,-32.082438,-10
4545,115.875949,-31.891028,-5.25
4573,115.897608,-32.166523,-25
4575,115.897608,-32.166469,-8
